calendar_year,event_id,tour
2022,9505,asa
2022,2022115,euro
2022,9507,kor
2022,22,sam
2022,2022114,euro
2022,9502,alp
2022,120,kft
2022,9499,mgt
2022,480,pga
2022,9500,anz
2022,9501,ngl
2022,15,champ
2022,9496,kor
2022,9492,pgt
2022,540,pga
2022,9487,afr
2022,615,champ
2022,9490,anz
2022,9485,jpn
2022,2022151,euro
2022,8,sam
2022,9491,atgt
2022,134,kft
2022,9488,ngl
2022,9481,pgt
2022,9477,afr
2022,9480,pgti
2022,53,champ
2022,6,sam
2022,9482,atvt
2022,2022149,euro
2022,9479,anz
2022,9476,jpn
2022,9469,asa
2022,9467,jpn
2022,9471,pgti
2022,12,pga
2022,9472,alp
2022,9473,pgt
2022,9470,kor
2022,137,kft
2022,9463,atvt
2022,9464,anz
2022,9462,asa
2022,9465,atgt
2022,14,pga
2022,15,sam
2022,9456,jpn
2022,9459,pgti
2022,11,champ
2022,128,kft
2022,2022305,cha
2022,41,pga
2022,135,kft
2022,42,sam
2022,9452,asa
2022,9453,alp
2022,9451,pgt
2022,522,pga
2022,9454,pgt
2022,2022303,cha
2022,2022106,euro
2022,2022147,euro
2022,36,kft
2022,9443,alp
2022,9444,pgt
2022,475,pga
2022,9442,pgti
2022,9440,anz
2022,9437,pgti
2022,2022146,euro
2022,9436,anz
2022,11,pga
2022,9432,alp
2022,2022304,cha
2022,9428,anz
2022,483,pga
2022,9431,ngl
2022,573,champ
2022,9433,ngl
2022,9429,pgti
2022,9,pga
2022,2022108,euro
2022,9430,alp
2022,9426,asa
2022,9417,asa
2022,18,champ
2022,2022302,cha
2022,9419,alp
2022,9422,pgti
2022,9421,ngl
2022,10,pga
2022,2022301,cha
2022,7,pga
2022,21,sam
2022,552,champ
2022,9420,ngl
2022,129,kft
2022,9415,anz
2022,9409,anz
2022,9410,atgt
2022,3,pga
2022,2022148,euro
2022,2022300,cha
2022,104,kft
2022,9402,asa
